"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2346.52410601579
"2","member","Sunday",915.595059979106
"3","casual","Monday",1990.96855475705
"4","member","Monday",769.944381310997
"5","casual","Tuesday",1693.09365395761
"6","member","Tuesday",740.149212385958
"7","casual","Wednesday",1734.4830705673
"8","member","Wednesday",749.251696983065
"9","casual","Thursday",1787.78081682532
"10","member","Thursday",752.297922542527
"11","casual","Friday",1871.02451644495
"12","member","Friday",777.467448454673
"13","casual","Saturday",2165.27131829975
"14","member","Saturday",897.514584352528
